2017 다모아 빅데이터 기관정보 (대전),,,,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고,,
11,대전광역시 중구,민간,직업훈련시설,MBC아카데미뷰티스쿨,대전광역시 중구 대종로 487(쌍인빌딩), 042-254-2344,http://www.mbcbeauty.co.kr/?r=daejeon,,,,
12,대전광역시 서구,민간,직업훈련시설,SBS방송아카데미뷰티스쿨,대전광역시 서구 계룡로 640,042-532-4900,http://daejeon.sbsbeautystyle.com/campus.asp,,180112 폐쇄,,
13,대전광역시 유성구,민간,교육산업,가르텐 평생교육원,대전광역시 유성구 온천북로 33번길 21-21,042-471-3200,http://garten22014.cafe24.com/,,확인요망,,
14,대전광역시 서구,공공,도서관,가수원도서관,대전광역시 서구 가수원로 91-11,042-543-0051~2,http://gasuwonlib.or.kr/flow/,,,,
15,대전광역시 서구,공공,주민자치기관,가수원동주민센터,대전광역시 서구 가수원로 105,042-541-5626,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG2000017,,,,
16,대전광역시 서구,공공,학교,가수원중학교,대전광역시 서구 가수원로 26,042-541-0145,http://www.gasuwon.ms.kr/,,180112 폐쇄,,
17,대전광역시 서구,공공,학교,가수원초등학교,대전광역시 서구 벌곡로 1359,042-541-1334,http://www.gasuwon.es.kr/,,180112 폐쇄,,
18,대전광역시 동구,공공,주민자치기관,가양1동주민센터,대전광역시 동구 가양로 122,042-259-7441,https://lll.donggu.go.kr,,대전광역시 동구 평생학습과,,
19,대전광역시 동구,공공,주민자치기관,가양2동주민센터,대전광역시 동구 흥룡로 33,042-259-7471,https://lll.donggu.go.kr,,,,
20,대전광역시 동구,공공,도서관,가양도서관,대전광역시 동구 우암로277번길 72,042-259-7081,http://lib.donggu.go.kr/html/library/gayanglib/,,대전광역시 동구 공공도서관,,
21,대전광역시 동구,공공,도서관,가오도서관,대전광역시 동구 동구청로 147,042-259-7051,http://lib.donggu.go.kr/html/library/gaolib/,,,,
22,대전광역시 서구,공공,주민자치기관,가장동주민센터,대전광역시 서구 들말4길 6,042-525-5625,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG1200017,,대전광역시 서구청,,
23,대전광역시 동구,민간,직업훈련시설,가톨릭간호학원,대전광역시 동구 동서대로 1629-6 3층,042-623-6677,http://www.djcans.co.kr/,,,,
24,대전광역시 서구,공공,주민자치기관,갈마1동주민센터,대전광역시 서구 신갈마로 191,042-525-5624,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG1400017,,대전광역시 서구청,,
25,대전광역시 서구,공공,주민자치기관,갈마2동주민센터,대전광역시 서구 대덕대로 147,042-532-5210,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG1500017,,,,
26,대전광역시 서구,공공,도서관,갈마도서관,대전광역시 서구 신갈마로127번길 138,042-533-4283~4,http://www.galmalib.or.kr/flow/,,,,
27,대전광역시 서구,공공,학교,갈마중학교,대전광역시 서구 계룡로326번길 138,042-714-2225,http://www.galma.ms.kr/,,180112 폐쇄,,
28,대전광역시 서구,공공,청소년시설,갈마청소년문화의집,대전광역시 서구 신갈마로 197,042-535-7478,http://www.galma1318.com/,,,,
29,대전광역시 서구,민간,기타,갑천하중국어전문학원,대전광역시 서구 둔산로31번길 61,042-478-9999,http://www.jiatianxia.co.kr/,,,,
30,대전광역시 서구,민간,문화센터,갤러리아타임월드 문화센터,대전광역시 서구 대덕대로 211 갤러리아타임월드 10층,042-480-5955,http://culture.galleria.co.kr/culture_new/culture_time.asp,,,,
31,대전광역시 중구,민간,학교,건신대학원대학교 부설평생교육원(구 복음신학대학원대학교 부설평생교육원),대전광역시 중구 동서대로1327번길 40,042-257-1505,http://alu.ac.kr/tjboard/?board=talkfest,,,,
32,대전광역시 서구,민간,직업훈련시설,경남컴퓨터학원,대전광역시 서구 배재로 155-7,042-526-2397,http://www.knca.co.kr/,,,,
33,대전광역시 대덕구,공공,학교,경덕공업고등학교,대전광역시 대덕구 동산초교로63번길 12,042-636-3606,http://www.kyongdok.hs.kr/,,변경 후-대전생활과학고등학교,,
34,대전광역시 대덕구,공공,학교,경덕중학교,대전광역시 대덕구 동산초교로63번길 12,042-632-7823~5,http://kyongdug.ms.kr/,,,,
35,대전광역시 서구,민간,직업훈련시설,경성컴퓨터학원,대전광역시 서구 대덕대로112번길 56,042-522-5599,http://www.ksca.net/,,,,
36,대전광역시 동구,공공,학교,계룡공업고등학교,대전광역시 동구 소랑길 64,042-630-6000,http://krdhs.djsch.kr/,,변경 후-계룡디지텍고등학교,,
37,대전광역시 중구,민간,직업훈련시설,계룡컴퓨터학원,대전광역시 중구 문화로 174,042-584-9797,http://krcom.modoo.at/,,,,
38,대전광역시 중구,민간,기타,고려고시학원,대전광역시 중구 보문로 278 ,"042-242-3400
010-3450-3701",http://yes.gogokea.com/,,180112 폐쇄,,
39,대전광역시 중구,민간,기타,공간사진학원,대전광역시 중구 중앙로138번길 17 ,042-221-1244 ,http://photo-space.co.kr/,,,,
40,대전광역시 서구,공공,주민자치기관,관저1동주민센터,대전광역시 서구 관저북로 24,042-545-0462,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG2100017,,대전광역시 서구청,,
41,대전광역시 서구,공공,주민자치기관,관저2동주민센터,대전광역시 서구 관저중로 82,042-545-9727,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG2200017,,,,
42,대전광역시 서구,공공,문화예술,관저문예회관,대전광역시 서구 관저동로 105번길 20,042-542-8301~2,http://cafe.daum.net/artgwanjeo,,,,
43,대전광역시 서구,공공,복지관,관저종합사회복지관,대전광역시 서구 구봉로 13,042-545-6810,http://www.gwanjeo.or.kr/,,,,
44,대전광역시 유성구,공공,주민자치기관,관평동주민센터,대전광역시 유성구 관평2로 42,042-601-6890,https://www.yuseong.go.kr/?page_id=14016,,"변경 후-주민자치센터_유성구청,통일성없음",,
45,대전광역시 서구,공공,주민자치기관,괴정동주민센터,대전광역시 서구 가장로 57,042-525-5623,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG1100017,,대전광역시 서구청,,
46,대전광역시 동구,민간,문화센터,교차로신문문화센터,대전광역시 동구 동서대로 1669 교차로신문사 2층,042-637-2000,https://center.kyocharo.com/,,,,
47,대전광역시 유성구,공공,도서관,구즉도서관,대전광역시 유성구 와룡로37번길 20,042-601-6510,http://lib.yuseong.go.kr/,,대전광역시유성구 통합도서관,,
48,대전광역시 유성구,공공,주민자치기관,구즉동주민센터,대전광역시 유성구 구룡달전로 22,042-601-6830,https://www.yuseong.go.kr/?page_id=14101,,변경 후-주민자치센터_유성구청,,
49,대전광역시 유성구,공공,학교,구즉초등학교,대전광역시 유성구 구룡달전로 34,042-935-4005,http://gjes.djsch.kr/,,,,
50,대전광역시 유성구,공공,문화예술,국립중앙과학관,대전광역시 유성구 대덕대로 481 , 042-601-7894~6,http://www.science.go.kr/,,,,
51,대전광역시 중구,민간,직업훈련시설,국민경찰학원,대전광역시 중구 대종로 484,042-222-9112,http://www.kopol.co.kr/index.html,,180112 폐쇄,,
52,대전광역시 중구,민간,기타,국민고시학원,대전광역시 중구 대종로 484,042-222-9112,www.kopol.co.kr,,180112 폐쇄,,
53,대전광역시 중구,민간,교육산업,국보평생교육원(모임공간국보),대전광역시 중구 중구 대전천서로 431 2~4층,042-222-1300,http://www.kbedu.kr/,,,,
54,대전광역시 중구,민간,문화예술,국제교류문화원,대전광역시 중구 중앙로122번길 17,042-254-7793,http://www.iec.or.kr/,,,,
55,대전광역시 중구,민간,문화센터,국제교육문화센터서대전지사,대전광역시 중구 계룡로 845-1 3층,042-255-7917~8,http://cafe.daum.net/DaejeonEdu,,,,
56,대전광역시 동구,민간,직업훈련시설,국제요양보호사교육원,대전광역시 동구 대전로 696,042-528-1918,http://www.myhanwool.com/business/sub03.htm,,변경 후-한울노인요양원,,
57,대전광역시 유성구,민간,국가 및 지자체,국제지식재산연수원,대전광역시 유성구 과학로 82,042-601-4458,http://iipti.kipo.go.kr/,,,,
58,대전광역시 서구,민간,기타,굿모닝어학원,대전광역시 서구 대덕대로 179 4층,042-488-6112,http://www.gmenglish.co.kr/,,굿모닝어학원,,
59,대전광역시 유성구,민간,기타,굿모닝어학원 충대점,대전광역시 유성구 대학로 90 누드캐슬빌딩 5층,"042-822-9906
042-822-9908",,,,,
60,대전광역시 서구,민간,직업훈련시설,굿아이컴퓨터학원,대전광역시 서구 가수원로 97,042-542-8011 ,미운영,,180119 폐쇄,,
61,대전광역시 중구,민간,직업훈련시설,권트리머애견미용학원,대전광역시 중구 선화로 152,042-254-8852,http://www.petmodelline.co.kr/,,변경 후-권트리머애견미용전문학원,,
62,대전광역시 서구,민간,학교,그라시아스음악학교,대전광역시 서구 변동중로 24-2,042-533-6479,http://higracias.net/,,변경 후-그라시아스음악중고등학교,,
63,대전광역시 중구,민간,기타,그린꽃예술학원,대전광역시 중구 대종로 465,042-221-2006,http://cafe.naver.com/greenflowers/,,,,
64,대전광역시 서구,민간,직업훈련시설,그린컴퓨터아트학원,대전광역시 서구 대덕대로 182,042-476-2111,http://daejeon.greenart.co.kr/,,변경 후-그린컴퓨터아트학원 대전캠퍼스,,
65,대전광역시 유성구,민간,기타,그림책교실미술학원,대전광역시 유성구 계룡로74번길 35-18 3층,042-825-3341 ,미운영,,180119 폐쇄,,
66,대전광역시 서구,민간,교육산업,글로벌평생교육원,대전광역시 서구 대덕대로176번길 51 상공회의소 7층,042-488-6869,미운영,,180119 폐쇄,,
67,대전광역시 유성구,공공,학교,금성초등학교,대전광역시 유성구 신성로72번길 5,042-861-8234,http://geumsunges.djsch.kr/,,,,
68,대전광역시 서구,공공,주민자치기관,기성동주민센터,대전광역시 서구 흑석1길 16,042-585-4602,https://www.seogu.go.kr/dong/content.do?mnucd=SGDONG2300017,,대전광역시 서구청,,
69,대전광역시 서구,공공,복지관,기성종합복지관,대전광역시 서구 장안로 54,0402-586-2060~2,http://www.djsiseol.or.kr/portal/sub040303.asp,,변경 후-대전광역시시설관리공단,,
70,대전광역시 서구,공공,학교,기성중학교,대전광역시 서구 장안로 54,042-585-5303,http://giseong21ms.djsch.kr/,,,,
71,대전광역시 서구,공공,학교,기성초등학교,대전광역시 서구 기성초교길 42,042-585-4611,http://giseonges.djsch.kr/,,기성초등학교,,
72,대전광역시 서구,공공,학교,기성초등학교 길헌분교,대전광역시 서구 당고개길 48,042-583-8084,,,,,
73,대전광역시 중구,민간,기타,김기태의공감스피치아카데미학원,대전광역시 중구 사정동 489-2,042-637-3378,http://www.imagesoo.com/,,,,
74,대전광역시 중구,민간,직업훈련시설,김민수캐드설계학원,대전광역시 중구 중앙로 3,042-222-3333,http://www.cadman.co.kr/,,,,
75,대전광역시 서구,민간,기타,김영편입학원,대전광역시 서구 둔산서로 31 ,042-221-8001,http://www.kimyoung.co.kr/acad_info/acad_news.asp?camp=22,,,,
76,대전광역시 서구,민간,기타,김천기색소폰전문학원,대전광역시 서구 문정로 66 ,042-489-6485 ,미운영,,180119 폐쇄,,
77,대전광역시 중구,민간,직업훈련시설,나이팅게일간호조사학원,대전광역시 중구 계룡로 880,042-252-6361,http://www.na1004.co.kr/,,,,
78,대전광역시 중구,공공,학교,남대전고등학교,대전광역시 중구 보문로111번길 63,042-253-7111,http://ndjhs.djsch.kr/,,,,
79,대전광역시 동구,공공,여성관련시설,남부여성가족원,대전광역시 동구 동구청로 36,"042-270-7752~6
042-270-7760~3  ",http://www.daejeon.go.kr/,,변경 후-대전광역시,,
80,대전광역시 유성구,공공,학교,남선초등학교,대전광역시 유성구 계백로93번길 277-29,042-825-0895,http://namsunes.djsch.kr/,,,,
81,대전광역시 서구,민간,박물관 및 미술관,남철미술관,대전광역시 서구갈마로 173-1,042-525-2097,http://www.namchoel.co.kr/,,180112 폐쇄,,
82,대전광역시 서구,공공,주민자치기관,내동주민센터,대전광역시 서구 도솔로 247,042-525-4203,https://www.seogu.go.kr/,,대전광역시 서구청,,
83,대전광역시 중구,민간,기타,노영달색소폰전문학원,대전광역시 중구 대흥로 28 ,042-221-4301,미운영,,,,
84,대전광역시 유성구,공공,주민자치기관,노은1동주민센터,대전광역시 유성구 노은동로87번길 89,042-601-6740,https://www.yuseong.go.kr/?page_id=13941,,변경 후-주민자치센터_유성구청,,
85,대전광역시 유성구,공공,주민자치기관,노은2동주민센터,대전광역시 유성구 송림로19번길 35,042-601-6860,https://www.yuseong.go.kr/?page_id=13979,,,,
86,대전광역시 유성구,공공,도서관,노은도서관,대전광역시 유성구 노은동로234번길 34,042-601-6610,http://lib.yuseong.go.kr/,,대전광역시유성구 통합도서관,,
87,대전광역시 유성구,민간,교육산업,노은평생교육원,대전광역시 유성구 은구비남로33번길 18,042-477-3732,미운영,,180119 폐쇄,,
88,대전광역시 서구,민간,기타,뉴리더스피치아카데미,대전광역시 서구 청사서로 29 ,042-482-0602 ,http://www.newspeech.kr/,,,,
89,대전광역시 서구,민간,교육산업,뉴비전평생교육원,대전광역시 서구 둔산대로117번길 95 리더스타운 B동 302호,042-867-8315,미운영,,180119 폐쇄,,
90,대전광역시 동구,민간,직업훈련시설,뉴성모간호학원,대전광역시 동구 동대전로 177 ,042-624-6244,http://www.newsungmo.co.kr/default/,,,,
91,대전광역시 서구,민간,직업훈련시설,뉴컴퓨터학원,대전광역시 서구 정림동로5번길 17 ,"042-585-1701
042-585-5701",http://www.newcom.or.kr/html/main.php,,,,
92,대전광역시 중구,민간,직업훈련시설,뉴하이미디어컴퓨터학원,대전광역시 중구 대종로 517 3층,042-286-0008,http://www.djcom.net/main.php,,,,
93,대전광역시 대덕구,민간,교육산업,늘푸른평생교육원,대전광역시 대덕구 회덕로21번길 71 신대동교회 1층,042-628-2968,미운영,,180119 폐쇄,,
94,대전광역시 중구,민간,직업훈련시설,다산전기학원,대전광역시 중구 보문로 241 ,042-383-8288,http://dasanedumaster.co.kr/,,,,
95,대전광역시 서구,민간,직업훈련시설,다온요양보호사교육원,대전광역시 서구 관저중로 95번길 74 수영빌딩 4층,042-543-2811,미운영,,180119 폐쇄,,
96,대전광역시 유성구,공공,학교,대덕고등학교,대전광역시 유성구 대덕대로556번길 158,042-860-0307,http://daedeokhs.djsch.kr/,,,,
97,대전광역시 대덕구,공공,복지관,대덕구노인종합복지관,대전광역시 대덕구 계족로740번길 80,042-627-0767,http://www.ddswc.net/,,,,
98,대전광역시 대덕구,공공,복지관,대덕구장애인종합복지관,대전광역시 대덕구 신탄진로 77?,042-637-8848,http://www.ddwelfare.or.kr/,,,,
99,대전광역시 대덕구,공공,국가 및 지자체,대덕구청,대전광역시 대덕구 대전로1033번길 20,042-608-6114,http://www.daedeok.go.kr/,,,,
100,대전광역시 대덕구,공공,청소년시설,대덕구청소년수련관,대전광역시 대덕구 쌍청당로 25,042-626-7728 ,http://www.dd1318.com/main/,,,o,
101,대전광역시 대덕구,공공,국가 및 지자체,대덕구 평생학습원,대전광역시 대덕구 대전로 1348,042-608-6492~6,https://lll.daedeok.go.kr/,,,x,카테고리 정보없음
102,대전광역시 유성구,민간,기타,대덕넷(헬로디디),대전광역시 유성구 대덕대로 582 옥토빌딩 4층 401호,042-861-5005,http://www.hellodd.com/,,,,
103,대전광역시 유성구,공공,도서관,대덕대학교 도서관,대전광역시 유성구 가정북로 68,042-866-0219,http://library.ddu.ac.kr/,,,x,사이트 접속불가
104,대전광역시 유성구,공공,학교,대덕대학교 평생교육원,대전광역시 유성구 가정북로 68 정곡관 3층,042-866-0501~2,http://edu.ddu.ac.kr/index.do,,,,
105,대전광역시 대덕구,공공,문화예술,대덕문화원,대전광역시 대덕구 대전로1348길,042-627-7517,http://www.ddcc.or.kr/,,,,
106,대전광역시 유성구,공공,학교,대덕소프트웨어마이스터고등학교,대전광역시 유성구 가정북로 76,042-866-8885,http://dsmhs.djsch.kr/main.do,,,,
107,대전광역시 동구,민간,직업훈련시설,대덕자동차직업전문학교,대전광역시 동구 합내로 73 ,042-631-6565,http://www.dcaredu.com/,,,,
108,대전광역시 대덕구,공공,복지관,대덕종합사회복지관,대전광역시 대덕구 덕암로234번길 44,042-936-7343~5,http://www.ddswc.or.kr/,,,,
109,대전광역시 유성구,공공,학교,대덕중학교,대전광역시 유성구 대덕대로 515,042-860-8907,http://daedeokms.djsch.kr/main.do,,도메인주소 같음,,
110,대전광역시 유성구,공공,학교,대덕초등학교,대전광역시 유성구 대덕대로556번길,042-861-7615,http://daedeokes.djsch.kr/main.do,,,,
111,대전광역시 대덕구,민간,교육산업,대덕특수교육원(가온누리),대전광역시 대덕구 비래동로7번길 9,042-623-8071,http://www.ddsd.kr/,,,,
112,대전광역시 동구,공공,복지관,대동종합사회복지관,대전광역시 동구 백룡로48번길 79,042-673-8337,https://lll.donggu.go.kr/,,대전광역시 동구 평생학습과,,
113,대전광역시 동구,공공,주민자치기관,대동주민센터,대전광역시 동구 계족로 180,042-259-7381,https://lll.donggu.go.kr,,대전광역시 동구 평생학습과,,
114,대전광역시 중구,공공,주민자치기관,대사동주민센터,대전광역시 중구 충로 65,042-253-4400,http://www.djjunggu.go.kr/html/dong/dong_010707.html,,대전광역시 중구청,,
115,대전광역시 중구,공공,학교,대성고등학교,대전광역시 중구 목동로 23,042-250-3853,http://daeseong.hs.kr/,,,,
116,대전광역시 동구,공공,학교,대성여자고등학교,대전광역시 동구 대성2길 20,042-670-2000,http://dsghs.djsch.kr/main.do,,도메인주소 같음,,
117,대전광역시 동구,공공,학교,대성여자중학교,대전광역시 동구 대성2길 20,042-670-3001,http://dsgms.djsch.kr/main.do,,,,
118,대전광역시 중구,공공,학교,대성중학교,대전광역시 중구 목동로 23,042-250-6000,http://dsmms.djsch.kr/main.do,,,,
119,대전광역시 대덕구,민간,직업훈련시설,대승컴퓨터학원,대전광역시 대덕구 중리북로 10 4층,042-625-0301,http://caf?.daum.net/dscomp,,180115 폐쇄,,
120,대전광역시 중구,민간,직업훈련시설,대신정보통신직업전문학교,대전광역시 중구 대종로 510,042-242-7676,http://www.국비무료.kr/index.php,,,,
121,대전광역시 중구,민간,직업훈련시설,대우금융회계학원,대전광역시 중구 대종로 551 ,042-222-2045,http://www.okdaewoo.kr/,,180115 폐쇄,,
122,대전광역시 중구,민간,직업훈련시설,대우정보처리학원,대전광역시 중구 대종로 551 ,042-222-2045,http://www.okdaewoo.kr/,,180115 폐쇄,,
123,대전광역시 중구,민간,직업훈련시설,대우직업전문학교,대전광역시 중구 중앙로137번길 31 ,042-222-2402 ,http://tjdaewoo.co.kr/,,,,
124,대전광역시 동구,공공,학교,대전가양중학교,대전광역시 동구 비래서로62번길 100,042-620-1500,http://gyms.djsch.kr/main.do,,,,
125,대전광역시 동구,공공,학교,대전가양초등학교,대전광역시 동구 가양로 61,042-633-1984,http://djgayanges.djsch.kr/main.do,,,,
126,대전광역시 동구,공공,학교,대전가오고등학교,대전광역시 동구 신기로 71,042-280-3700,http://gaohs.djsch.kr/main.do,,도메인주소 같음,,
127,대전광역시 동구,공공,학교,대전가오중학교,대전광역시 동구 은어송로 79,042-282-0424,http://gaoms.djsch.kr/main.do,,,,
128,대전광역시 동구,공공,학교,대전가오초등학교,대전광역시 동구 신기로 112,042-281-7003,http://gaoes.djsch.kr/main.do,,,,
129,대전광역시 동구,민간,문화센터,대전가오풀잎문화센터,대전광역시 동구 대전로 437 3층,042-272-5579,http://gao.pulib.com/,,,,
130,대전광역시 서구,공공,학교,대전가원학교,대전광역시 서구 계백로 1095,042-545-7788,http://www.gawon.sc.kr/,,,,
131,대전광역시 서구,공공,학교,대전가장초등학교,대전광역시 서구 가장로 150,042-527-7604,http://gajanges.djsch.kr/main.do,,,,
132,대전광역시 중구,민간,직업훈련시설,대전간호학원,대전광역시 중구 중앙로 161 ,042-257-2122,http://1004dj.com/eunhaeng/main/main.htm,,대전간호학원,,
133,대전광역시 서구,민간,직업훈련시설,대전간호학원 도마점,대전광역시 서구 계백로 1452 3층,042-587-0020,http://1004dj.com/doma,,,,
134,대전광역시 서구,민간,직업훈련시설,대전간호학원 둔산점,"대전광역시 서구 계룡로 631 3,4층",042-535-5305,http://1004dj.com/dunsan,,,,
135,대전광역시 서구,공공,학교,대전갈마초등학교,대전광역시 서구 월평동로 2, 042-486-0906,http://galmaes.djsch.kr/main.do,,,,
136,대전광역시 서구,공공,학교,대전갑천중학교,대전광역시 서구 월평동로 80,042-488-8600,http://gapcheonms.djsch.kr/main.do,,,,
137,대전광역시 서구,공공,학교,대전갑천초등학교,대전광역시 서구 월평동로 61,042-488-3323,http://djgces.djsch.kr/main.do,,,,
138,대전광역시 유성구,공공,학교,대전계산초등학교,대전광역시 유성구 학하서로 74,042-825-6185,http://djkses.djsch.kr/main.do,,,,
139,대전광역시 중구,공공,학교,대전고등학교,대전광역시 중구 대흥로 110,042-220-6100,http://djhs.djsch.kr/main.do,,,,
140,대전광역시 서구,민간,기타,대전고시학원(대전한국에듀법학원),대전광역시 서구 둔산중로 38 5층,042-486-6663,http://www.eduroad.co.kr/,,,,
141,대전광역시 유성구,공공,학교,대전공업고등학교,대전광역시 유성구 진잠로42번길 35,042-540-2100,http://daegonghs.djsch.kr/main.do,,,,
142,대전광역시 유성구,공공,학교,대전과학고등학교,대전광역시 유성구 과학로 46,042-860-0214,http://djshs.djsch.kr/main.do,,,,
143,대전광역시 서구,공공,도서관,대전과학기술대학교 중앙도서관,대전광역시 서구 혜천로 100,042-580-6063,http://library.dst.ac.kr/,,,,
144,대전광역시 서구,공공,학교,대전과학기술대학교 평생교육원,대전광역시 서구 혜천로 100,042-580-6181~2,http://lec.dst.ac.kr/,,,,
145,대전광역시 서구,공공,학교,대전관저고등학교,대전광역시 서구 관저북로 94,042-540-2800,http://gjhs.djsch.kr/main.do,,도메인주소 같음,,
146,대전광역시 서구,공공,학교,대전관저중학교,대전광역시 서구 관저동로 143,042-545-4762,http://gjms.djsch.kr/main.do,,,,
147,대전광역시 서구,공공,학교,대전관저초등학교,대전광역시 서구 관저동로 161,042-545-2673,http://gwanjeoes.djsch.kr/main.do,,,,
148,대전광역시 유성구,공공,학교,대전관평중학교,대전광역시 유성구 테크노4로 132,042-671-0811,http://gpms.djsch.kr/main.do,,,,
149,대전광역시 유성구,공공,학교,대전관평초등학교,대전광역시 유성구 테크노4로 132,042-671-0062,http://djgpes.djsch.kr/main.do,,,,
150,대전광역시 동구,공공,기타,대전광역시국제교류센터,대전광역시 동구 대전로 799 ,042-223-0789,http://www.dicc.or.kr/smain.html,,,,
151,대전광역시 대덕구,공공,복지관,대전광역시근로자종합복지회관,대전광역시 대덕구 대화로 10,042-621-2462,http://www.dwwc.org/,,,,
152,대전광역시 중구,공공,복지관,대전광역시노인복지관,대전광역시 중구 테미로 26,042-242-3101,http://www.djswc.or.kr/,,,,
153,대전광역시 유성구,공공,다문화,대전광역시다문화가족지원센터,대전광역시 유성구 테크노6로 40-17 DTV근로자종합복지회관,042-252-9997,http://yuseonggu.liveinkorea.kr/,,,,
154,대전광역시 동구,공공,국가 및 지자체,동구 평생학습원,대전광역시 동구 동구청로 147,042-259-7011,https://lll.donggu.go.kr/,,대전광역시 동구 평생학습과,,
155,대전광역시 중구,공공,국가 및 지자체,대전광역시동부교육지원청,대전광역시 중구 대전천서로 521,042-229-1114,http://www.djdbe.go.kr/Good/,,,,
156,대전광역시 중구,공공,복지관,대전광역시립산성종합복지관,대전광역시 중구 유등천동로 232,042-586-8033,http://www.djsswel.or.kr/,,,,
157,대전광역시 유성구,공공,복지관,대전광역시립장애인종합복지관,대전광역시 유성구 유성대로298번길 175,042-540-3500,http://www.djrc.or.kr/,,,,
158,대전광역시 서구,공공,국가 및 지자체,대전광역시서부교육지원청,대전광역시 서구 계백로 1419 ,042-530-1114,http://www.djsbe.go.kr/Good/,,,,
159,대전광역시 서구,공공,국가 및 지자체,대전광역시청,대전광역시 서구 둔산로 100 ,042-120,http://www.daejeon.go.kr/,,,,
160,대전광역시 서구,공공,청소년시설,평송청소년문화센터,대전광역시 서구 둔산대로 201 ,042-480-1622~3,http://www.pyoungsong.com/,,,,
161,대전광역시 서구,공공,학교,대전괴정고등학교,대전광역시 서구 가장로 15,042-520-8305,http://goejeonghs.djsch.kr/main.do,,도메인주소 같음,,
162,대전광역시 서구,공공,학교,대전괴정중학교,대전광역시 서구 가장로 15,042-530-1700,http://goejeong35ms.djsch.kr/main.do,,,,
163,대전광역시 유성구,공공,국가 및 지자체,대전교육과학연구원,대전광역시 유성구 대덕대로 507-50,042-865-6300,http://desre.djsch.kr/main.do,,,,
164,대전광역시 유성구,공공,국가 및 지자체,대전교육정보원,대전 유성구 대덕대로 507-115 ,042-865-6000 ,http://dei.djsch.kr/main.do,,,,
165,대전광역시 유성구,공공,학교,대전교촌초등학교,대전광역시 유성구 진잠로149번길 42,042-544-0644,http://kyochones.djsch.kr/main.do,,,,
166,대전광역시 서구,공공,학교,대전구봉고등학교,대전광역시 서구 관저서로 36,"042-540-3700
042-540-3704~5",http://gubonghs.djsch.kr/main.do,,도메인주소 같음,,
167,대전광역시 서구,공공,학교,대전구봉중학교,대전광역시 서구 관저서로 86,042-544-7560,http://gubongms.djsch.kr/main.do,,,,
168,대전광역시 서구,공공,학교,대전구봉초등학교,대전광역시 서구 관저로 75,042-542-0193,http://gubonges.djsch.kr/main.do,,,,
169,대전광역시 중구,민간,교육산업,대전국제유니버시티평생교육원,대전광역시 중구 중앙로122번길 대일빌딩B동 8층,042-221-1516,미운영,,180122 폐쇄,,
170,대전광역시 중구,공공,학교,대전국제통상고등학교,대전광역시 중구 서문로 47,042-580-2585,http://dimhs.djsch.kr/main.do,,,,
